iter	Passed	Remaining
0	172	172684
1	174	87193
2	176	58692
3	178	44489
4	180	35904
5	182	30177
6	183	26089
7	185	23025
8	187	20594
9	188	18686
10	190	17129
11	191	15773
12	194	14792
13	197	13902
14	199	13124
15	202	12470
16	205	11866
17	207	11316
18	209	10822
19	211	10342
20	213	9931
21	214	9556
22	216	9205
23	218	8895
24	220	8612
25	222	8351
26	225	8112
27	227	7892
28	229	7682
29	230	7464
30	232	7278
31	234	7101
32	236	6935
33	238	6778
34	240	6631
35	242	6494
36	245	6391
37	248	6302
38	251	6195
39	254	6096
40	256	6005
41	259	5922
42	261	5827
43	264	5740
44	266	5659
45	269	5579
46	270	5491
47	273	5420
48	276	5360
49	278	5292
50	280	5227
51	282	5158
52	285	5095
53	287	5035
54	289	4977
55	291	4921
56	294	4869
57	296	4814
58	298	4761
59	300	4710
60	303	4665
61	305	4622
62	307	4575
63	309	4528
64	311	4479
65	313	4435
66	315	4392
67	317	4350
68	319	4311
69	321	4273
70	323	4234
71	326	4202
72	328	4166
73	330	4130
74	332	4098
75	334	4068
76	337	4042
77	339	4018
78	342	3987
79	343	3955
80	345	3923
81	347	3892
82	349	3860
83	351	3830
84	353	3802
85	355	3773
86	356	3744
87	358	3716
88	360	3690
89	362	3666
90	364	3643
91	366	3619
92	369	3600
93	371	3577
94	373	3555
95	375	3532
96	377	3510
97	379	3489
98	381	3468
99	383	3448
100	385	3432
101	387	3413
102	389	3395
103	392	3378
104	394	3359
105	396	3340
106	398	3321
107	399	3303
108	402	3289
109	404	3272
110	406	3254
111	408	3238
112	410	3222
113	412	3207
114	415	3193
115	417	3180
116	419	3165
117	421	3151
118	423	3137
119	425	3123
120	428	3110
121	429	3094
122	431	3078
123	433	3065
124	435	3051
125	437	3037
126	439	3024
127	442	3011
128	444	2998
129	445	2984
130	447	2970
131	450	2960
132	452	2948
133	454	2936
134	456	2923
135	458	2910
136	460	2898
137	461	2885
138	463	2873
139	465	2862
140	467	2850
141	470	2841
142	472	2833
143	475	2828
144	478	2819
145	480	2808
146	482	2798
147	484	2787
148	486	2775
149	487	2764
150	489	2753
151	491	2742
152	493	2731
153	495	2721
154	497	2711
155	499	2702
156	501	2692
157	503	2682
158	505	2672
159	507	2663
160	509	2653
161	511	2643
162	513	2634
163	515	2625
164	516	2615
165	518	2605
166	520	2596
167	522	2586
168	524	2577
169	525	2568
170	527	2559
171	530	2552
172	532	2544
173	534	2536
174	536	2527
175	538	2520
176	540	2511
177	542	2503
178	543	2494
179	545	2486
180	547	2477
181	549	2469
182	551	2461
183	553	2452
184	554	2444
185	556	2436
186	558	2428
187	560	2421
188	562	2415
189	564	2407
190	566	2400
191	568	2393
192	570	2385
193	572	2378
194	574	2371
195	576	2363
196	578	2356
197	580	2349
198	581	2342
199	583	2334
200	585	2328
201	587	2320
202	589	2314
203	591	2307
204	593	2299
205	594	2293
206	596	2286
207	598	2279
208	600	2272
209	602	2265
210	603	2258
211	606	2253
212	608	2250
213	611	2246
214	614	2243
215	617	2240
216	619	2234
217	621	2228
218	622	2221
219	624	2215
220	626	2209
221	628	2203
222	630	2197
223	632	2191
224	634	2185
225	636	2179
226	638	2172
227	639	2166
228	641	2160
229	644	2156
230	645	2150
231	647	2143
232	649	2138
233	651	2132
234	653	2126
235	655	2120
236	656	2114
237	658	2108
238	660	2103
239	662	2098
240	664	2093
241	666	2088
242	668	2083
243	671	2079
244	673	2075
245	676	2074
246	679	2071
247	681	2067
248	684	2065
249	687	2062
250	690	2061
251	694	2060
252	697	2058
253	699	2055
254	702	2052
